t,Yt,Yt-1,Xt
1,30.2,,0.046857167
2,28.2,30.2,0.046455536
3,26.6,28.2,0.046857167
4,25,26.6,0.048195943
5,26,25,0.048865333
6,26,26,0.050204106
7,26,26,0.050204106
8,24,26,0.050204106
9,23,24,0.046857167
10,24,23,0.044179615
11,25,24,0.04284084
12,26,25,0.04049798
13,27,26,0.040163286
14,29,27,0.03882451
15,29,29,0.03882451
16,29,29,0.03882451
17,29,29,0.037485734
18,28,29,0.042506143
19,27,28,0.050204106
20,27,27,0.0562286
21,27,27,0.0562286
22,27,27,0.054889824
23,27,27,0.052881658
24,27,27,0.05221227
25,27,27,0.05221227
26,28,27,0.05221227
27,29,28,0.052881658
28,31,29,0.05221227
29,31,31,0.05221227
30,32,31,0.051542886
