DT;WS50M
01/01/2021;5.58
02/01/2021;4.59
03/01/2021;3.05
04/01/2021;2.95
05/01/2021;3.56
06/01/2021;3.94
07/01/2021;9.41
08/01/2021;5.88
09/01/2021;6.23
10/01/2021;3.7
11/01/2021;4.92
12/01/2021;2.99
13/01/2021;3.38
14/01/2021;4.52
15/01/2021;4.35
16/01/2021;7.56
17/01/2021;3.32
18/01/2021;4.7
19/01/2021;9.16
20/01/2021;5.31
21/01/2021;2.69
22/01/2021;4.03
23/01/2021;7.52
24/01/2021;8.99
25/01/2021;5.33
26/01/2021;2.85
27/01/2021;8.15
28/01/2021;6.35
29/01/2021;7.84
30/01/2021;5.08
31/01/2021;5.76
01/02/2021;6.21
02/02/2021;7.67
03/02/2021;3.83
04/02/2021;7.62
05/02/2021;3.7
06/02/2021;3.46
07/02/2021;4.23
08/02/2021;5.0
09/02/2021;5.99
10/02/2021;3.41
11/02/2021;6.52
12/02/2021;2.95
13/02/2021;5.02
14/02/2021;6.31
15/02/2021;10.16
16/02/2021;10.45
17/02/2021;11.49
18/02/2021;5.56
19/02/2021;5.31
20/02/2021;8.53
21/02/2021;5.64
22/02/2021;6.41
23/02/2021;8.2
24/02/2021;7.39
25/02/2021;4.77
26/02/2021;5.74
27/02/2021;9.46
28/02/2021;3.88
01/03/2021;6.41
02/03/2021;12.77
03/03/2021;8.73
04/03/2021;3.26
05/03/2021;2.23
06/03/2021;6.92
07/03/2021;5.51
08/03/2021;4.87
09/03/2021;4.3
10/03/2021;7.79
11/03/2021;4.16
12/03/2021;3.0
13/03/2021;7.55
14/03/2021;9.27
15/03/2021;5.75
16/03/2021;6.96
17/03/2021;6.2
18/03/2021;4.2
19/03/2021;5.14
20/03/2021;4.8
21/03/2021;12.04
22/03/2021;6.55
23/03/2021;3.9
24/03/2021;6.41
25/03/2021;6.01
26/03/2021;6.63
27/03/2021;4.73
28/03/2021;10.36
29/03/2021;5.78
30/03/2021;3.66
31/03/2021;5.2
01/04/2021;3.83
02/04/2021;5.41
03/04/2021;3.88
04/04/2021;8.37
05/04/2021;8.28
06/04/2021;6.6
07/04/2021;3.43
08/04/2021;4.93
09/04/2021;5.95
10/04/2021;5.16
11/04/2021;3.44
12/04/2021;3.96
13/04/2021;8.62
14/04/2021;8.38
15/04/2021;5.33
16/04/2021;4.21
17/04/2021;6.52
18/04/2021;9.04
19/04/2021;4.89
20/04/2021;3.52
21/04/2021;4.84
22/04/2021;7.41
23/04/2021;4.96
24/04/2021;3.63
25/04/2021;5.2
26/04/2021;7.97
27/04/2021;5.77
28/04/2021;7.88
29/04/2021;11.09
30/04/2021;6.11
01/05/2021;8.13
